,positive,negativ,density,density_negative,density_positive,air_quality
Сочи,41,330,2636.18778280543,0.23190045248868776,1.8665158371040722,35
Севастополь,251,546,393.6053240740741,0.29050925925925924,0.6319444444444444,45
Норильск,14,30,7914.464594127807,0.6044905008635578,1.2953367875647668,25
Челябинск,331,487,2241.433962264151,0.6245283018867924,0.9188679245283019,23
Нижний Новгород,120,172,2723.978260869565,0.2608695652173913,0.3739130434782609,35
Иркутск,88,363,218.26785714285714,0.3142857142857143,1.2964285714285715,24
